"","gene","n_TE_hits","repeat_classes"
"1078","AT2G03955",1,"DNA/Helitron"
"1079","AT2G15010",1,"LTR/Copia"
"1080","AT2G24615",1,"DNA/Helitron"
"1081","AT2G24625",3,"LTR/Gypsy, LTR/Ty3, DNA/Helitron"
"1082","AT2G29350",1,"SINE/tRNA"
"1083","AT2G29360",1,"SINE/tRNA"
"1084","AT3G22040",4,"DNA/Helitron"
"1085","AT3G22050",1,"LTR/unknown"
"1086","AT3G60700",1,"LTR/Copia"
"1087","AT4G04110",5,"LTR/Copia"
"1088","AT4G19720",1,"SINE/tRNA"
"1089","AT4G19730",1,"LTR/Gypsy"
"1090","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1091","AT4G19770",2,"LTR/Copia"
"1092","AT5G17890",3,"DNA/Helitron"
"1093","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1094","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1095","AT5G38550",1,"LINE/L1"
"1096","AT5G39330",1,"DNA/Helitron"
"1097","AT5G41170",1,"DNA/Helitron"
"1098","AT1G12300",1,"LINE/unknown"
"1099","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1100","AT1G34792",1,"LTR/Gypsy"
"1101","AT1G34795",2,"LTR/Gypsy"
"1102","AT1G34800",3,"LTR/Gypsy"
"1103","AT1G34805",1,"LTR/Gypsy"
"1104","AT1G34810",1,"LTR/Gypsy"
"1105","AT1G34825",6,"LTR/Gypsy"
"1106","AT1G34830",4,"LTR/Gypsy"
"1107","AT1G45063",1,"DNA/Helitron"
"1108","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1109","AT1G60095",1,"SINE/tRNA"
"1110","AT1G62680",1,"LTR/Copia"
"1111","AT1G62914",1,"LINE/unknown"
"1112","AT1G62930",3,"LTR/Copia, LINE/L1, LINE/unknown"
"1113","AT1G63400",1,"LINE/unknown"
"1114","AT2G03913",1,"DNA/Helitron"
"1115","AT2G14540",1,"DNA/Helitron"
"1116","AT2G15010",1,"LTR/Copia"
"1117","AT2G24615",2,"DNA/Helitron"
"1118","AT2G24625",3,"LTR/Gypsy, LTR/Ty3, DNA/Helitron"
"1119","AT2G29350",1,"SINE/tRNA"
"1120","AT2G29360",1,"SINE/tRNA"
"1121","AT3G22040",1,"LTR/unknown"
"1122","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"1123","AT3G22053",3,"DNA/Helitron"
"1124","AT4G04110",5,"LTR/Copia"
"1125","AT4G19720",1,"SINE/tRNA"
"1126","AT4G19730",1,"LTR/Gypsy"
"1127","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1128","AT4G19770",2,"LTR/Copia"
"1129","AT4G20540",1,"DNA/Helitron"
"1130","AT4G20550",1,"DNA/Helitron"
"1131","AT4G20580",2,"DNA/Helitron"
"1132","AT4G20670",2,"DNA/Helitron"
"1133","AT5G17890",4,"DNA/Helitron"
"1134","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1135","AT5G38550",1,"LINE/L1"
"1136","AT5G39330",1,"DNA/Helitron"
"1137","AT5G41170",1,"LTR/Copia"
"1138","AT5G42232",1,"DNA/Helitron"
"1139","AT1G12300",1,"LINE/unknown"
"1140","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1141","AT1G34792",1,"LTR/Gypsy"
"1142","AT1G34795",2,"LTR/Gypsy"
"1143","AT1G34800",3,"LTR/Gypsy"
"1144","AT1G34805",4,"DNA/Helitron, LTR/Gypsy"
"1145","AT1G34825",7,"DNA/Helitron, LTR/Gypsy"
"1146","AT1G34830",5,"DNA/Helitron, LTR/Gypsy"
"1147","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"1148","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1149","AT1G60095",1,"SINE/tRNA"
"1150","AT1G62680",1,"LTR/Copia"
"1151","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"1152","AT1G62914",1,"LINE/unknown"
"1153","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"1154","AT1G64030",2,"LTR/unknown, LTR/Copia"
"1155","AT1G70120",1,"LINE/unknown"
"1156","AT2G03913",3,"DNA/Helitron"
"1157","AT2G03933",2,"DNA/Helitron"
"1158","AT2G03937",3,"DNA/Helitron"
"1159","AT2G15010",1,"LTR/Copia"
"1160","AT2G24615",1,"DNA/Helitron"
"1161","AT2G24625",1,"DNA/Helitron"
"1162","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"1163","AT2G29360",1,"SINE/tRNA"
"1164","AT3G22040",1,"LTR/unknown"
"1165","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"1166","AT3G22053",3,"DNA/Helitron"
"1167","AT3G60700",1,"LINE/unknown"
"1168","AT4G04110",5,"LTR/Copia"
"1169","AT4G11760",2,"LTR/Copia"
"1170","AT4G19720",1,"SINE/tRNA"
"1171","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"1172","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1173","AT4G19770",2,"LTR/Copia"
"1174","AT4G20530",1,"DNA/Helitron"
"1175","AT4G20580",1,"DNA/Helitron"
"1176","AT4G20670",1,"DNA/Helitron"
"1177","AT5G17890",3,"DNA/Helitron"
"1178","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1179","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1180","AT5G38550",1,"LINE/L1"
"1181","AT5G39330",1,"DNA/Helitron"
"1182","AT5G41170",1,"DNA/Helitron"
"1183","AT1G12300",1,"LINE/unknown"
"1184","AT1G33220",4,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1185","AT1G34792",1,"LTR/Gypsy"
"1186","AT1G34795",2,"LTR/Gypsy"
"1187","AT1G34800",2,"LTR/Gypsy"
"1188","AT1G34825",2,"LTR/Gypsy"
"1189","AT1G45063",1,"DNA/Helitron"
"1190","AT1G57570",1,"LINE/unknown"
"1191","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"1192","AT1G60095",1,"SINE/tRNA"
"1193","AT1G62680",1,"LTR/Copia"
"1194","AT1G62910",1,"LINE/unknown"
"1195","AT1G62914",1,"LINE/unknown"
"1196","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"1197","AT2G03913",1,"DNA/Helitron"
"1198","AT2G14540",1,"DNA/Helitron"
"1199","AT2G15010",1,"LTR/Copia"
"1200","AT2G24615",2,"DNA/Helitron"
"1201","AT2G24625",3,"LTR/Gypsy, LTR/Ty3, DNA/Helitron"
"1202","AT2G29350",1,"SINE/tRNA"
"1203","AT2G29360",1,"SINE/tRNA"
"1204","AT3G22040",1,"LTR/unknown"
"1205","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"1206","AT3G22053",3,"DNA/Helitron"
"1207","AT4G04110",5,"LTR/Copia"
"1208","AT4G19720",1,"SINE/tRNA"
"1209","AT4G19730",1,"LTR/Gypsy"
"1210","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1211","AT4G19770",2,"LTR/Copia"
"1212","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"1213","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1214","AT5G38550",1,"LINE/L1"
"1215","AT5G39330",1,"DNA/Helitron"
"1216","AT5G41170",1,"DNA/Helitron"
"1217","AT1G12300",1,"LINE/unknown"
"1218","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1219","AT1G34792",1,"LTR/Gypsy"
"1220","AT1G34795",2,"LTR/Gypsy"
"1221","AT1G34800",3,"LTR/Gypsy"
"1222","AT1G34805",3,"DNA/Helitron, LTR/Gypsy"
"1223","AT1G34825",6,"DNA/Helitron, LTR/Gypsy"
"1224","AT1G34830",4,"DNA/Helitron, LTR/Gypsy"
"1225","AT1G34840",3,"DNA/Helitron, LTR/Gypsy"
"1226","AT1G45063",1,"DNA/Helitron"
"1227","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1228","AT1G60095",1,"SINE/tRNA"
"1229","AT1G62680",1,"LTR/Copia"
"1230","AT1G62910",1,"LINE/unknown"
"1231","AT1G62914",1,"LINE/unknown"
"1232","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"1233","AT1G63400",1,"LINE/unknown"
"1234","AT2G03913",3,"DNA/Helitron"
"1235","AT2G03933",2,"DNA/Helitron"
"1236","AT2G03937",4,"DNA/Helitron"
"1237","AT2G15010",1,"LTR/Copia"
"1238","AT2G24615",1,"DNA/Helitron"
"1239","AT2G24625",1,"DNA/Helitron"
"1240","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"1241","AT2G29360",1,"SINE/tRNA"
"1242","AT3G22040",1,"LTR/unknown"
"1243","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"1244","AT3G22053",3,"DNA/Helitron"
"1245","AT4G04110",5,"LTR/Copia"
"1246","AT4G19720",1,"SINE/tRNA"
"1247","AT4G19730",1,"LTR/Gypsy"
"1248","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1249","AT5G17890",2,"DNA/Helitron"
"1250","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1251","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1252","AT5G38550",2,"LINE/L1"
"1253","AT5G39330",1,"DNA/Helitron"
"1254","AT5G44430",3,"DNA/Helitron"
"1255","AT1G12300",1,"LINE/unknown"
"1256","AT1G33220",2,"LINE/unknown, LINE/L1"
"1257","AT1G34792",1,"LTR/Gypsy"
"1258","AT1G34795",1,"LTR/Gypsy"
"1259","AT1G34800",1,"LTR/Gypsy"
"1260","AT1G34825",1,"LTR/Gypsy"
"1261","AT1G34840",1,"LTR/Gypsy"
"1262","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1263","AT1G60095",1,"SINE/tRNA"
"1264","AT1G62914",1,"LINE/unknown"
"1265","AT1G62930",2,"LINE/L1, LTR/Copia"
"1266","AT2G03913",2,"DNA/Helitron"
"1267","AT2G03933",2,"DNA/Helitron"
"1268","AT2G03937",3,"DNA/Helitron"
"1269","AT2G15010",1,"LTR/Copia"
"1270","AT2G24615",1,"DNA/Helitron"
"1271","AT2G24625",1,"DNA/Helitron"
"1272","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"1273","AT2G29360",1,"SINE/tRNA"
"1274","AT3G22053",4,"DNA/Helitron"
"1275","AT3G60700",1,"LTR/Copia"
"1276","AT4G04110",5,"LTR/Copia"
"1277","AT4G11760",2,"LTR/Copia"
"1278","AT4G19720",1,"SINE/tRNA"
"1279","AT4G19730",1,"LTR/Gypsy"
"1280","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1281","AT4G19770",2,"LTR/Copia"
"1282","AT4G20530",1,"LINE/L1"
"1283","AT4G20580",1,"LINE/L1"
"1284","AT4G20670",1,"LINE/L1"
"1285","AT5G17890",2,"DNA/Helitron"
"1286","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1287","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1288","AT5G38550",1,"LINE/L1"
"1289","AT5G39330",1,"DNA/Helitron"
"1290","AT5G41170",1,"DNA/Helitron"
"1291","AT1G12300",1,"LINE/unknown"
"1292","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1293","AT1G34792",1,"LTR/Gypsy"
"1294","AT1G34795",2,"LTR/Gypsy"
"1295","AT1G34800",3,"LTR/Gypsy"
"1296","AT1G34805",1,"LTR/Gypsy"
"1297","AT1G34825",4,"LTR/Gypsy"
"1298","AT1G34830",2,"LTR/Gypsy"
"1299","AT1G34840",1,"LTR/Gypsy"
"1300","AT1G35035",1,"LTR/Gypsy"
"1301","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1302","AT1G60095",1,"SINE/tRNA"
"1303","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"1304","AT1G62914",1,"LINE/unknown"
"1305","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"1306","AT2G15010",1,"LTR/Copia"
"1307","AT2G24615",2,"DNA/Helitron"
"1308","AT2G24625",1,"DNA/Helitron"
"1309","AT2G29350",1,"SINE/tRNA"
"1310","AT2G29360",1,"SINE/tRNA"
"1311","AT3G22040",1,"LTR/unknown"
"1312","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"1313","AT3G22053",3,"DNA/Helitron"
"1314","AT3G60700",1,"LINE/unknown"
"1315","AT4G04110",5,"LTR/Copia"
"1316","AT4G11760",2,"LTR/Copia"
"1317","AT4G19720",1,"SINE/tRNA"
"1318","AT4G19730",1,"LTR/Gypsy"
"1319","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1320","AT4G19770",2,"LTR/Copia"
"1321","AT4G20530",1,"DNA/Helitron"
"1322","AT4G20580",1,"DNA/Helitron"
"1323","AT4G20670",1,"DNA/Helitron"
"1324","AT5G17890",2,"DNA/Helitron"
"1325","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1326","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1327","AT5G38550",2,"LINE/L1"
"1328","AT5G39330",1,"DNA/Helitron"
"1329","AT5G41170",1,"DNA/Helitron"
"1330","AT1G12300",1,"LINE/unknown"
"1331","AT1G33220",2,"LINE/unknown, LINE/L1"
"1332","AT1G34792",1,"LTR/Gypsy"
"1333","AT1G34795",2,"LTR/Gypsy"
"1334","AT1G34800",3,"LTR/Gypsy"
"1335","AT1G34825",4,"LTR/Gypsy"
"1336","AT1G34830",2,"LTR/Gypsy"
"1337","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1338","AT1G60095",1,"SINE/tRNA"
"1339","AT1G62680",1,"LTR/Copia"
"1340","AT1G62914",1,"LINE/unknown"
"1341","AT1G62930",2,"LINE/L1, LTR/Copia"
"1342","AT2G03913",1,"DNA/Helitron"
"1343","AT2G15010",3,"LTR/Copia"
"1344","AT2G24615",2,"DNA/Helitron"
"1345","AT2G24625",3,"LTR/Gypsy, LTR/Ty3, DNA/Helitron"
"1346","AT2G29350",1,"SINE/tRNA"
"1347","AT2G29360",1,"SINE/tRNA"
"1348","AT3G22040",4,"DNA/Helitron"
"1349","AT3G22050",1,"LTR/unknown"
"1350","AT3G60700",1,"LTR/Copia"
"1351","AT4G04110",5,"LTR/Copia"
"1352","AT4G11760",2,"LTR/Copia"
"1353","AT4G19720",1,"SINE/tRNA"
"1354","AT4G19730",1,"LTR/Gypsy"
"1355","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1356","AT4G19770",2,"LTR/Copia"
"1357","AT5G17890",3,"DNA/Helitron"
"1358","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1359","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1360","AT5G38550",1,"LINE/L1"
"1361","AT5G39330",1,"DNA/Helitron"
"1362","AT5G41170",1,"DNA/Helitron"
"1363","AT1G12300",1,"LINE/unknown"
"1364","AT1G33220",4,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1365","AT1G34792",1,"LTR/Gypsy"
"1366","AT1G34795",2,"LTR/Gypsy"
"1367","AT1G34800",3,"LTR/Gypsy"
"1368","AT1G34805",1,"LTR/Gypsy"
"1369","AT1G34810",1,"LTR/Gypsy"
"1370","AT1G34825",6,"LTR/Gypsy"
"1371","AT1G34830",4,"LTR/Gypsy"
"1372","AT1G45063",1,"DNA/Helitron"
"1373","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1374","AT1G60095",1,"SINE/tRNA"
"1375","AT1G62720",1,"DNA/Helitron"
"1376","AT1G62910",1,"LINE/unknown"
"1377","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"1378","AT1G64030",1,"DNA/Helitron"
"1379","AT1G70120",1,"LINE/unknown"
"1380","AT2G03913",1,"DNA/Helitron"
"1381","AT2G15010",1,"LTR/Copia"
"1382","AT2G24615",2,"DNA/Helitron"
"1383","AT2G24625",3,"LTR/Gypsy, LTR/Ty3, DNA/Helitron"
"1384","AT2G29260",1,"DNA/Helitron"
"1385","AT2G29350",1,"SINE/tRNA"
"1386","AT2G29360",1,"SINE/tRNA"
"1387","AT3G22053",4,"DNA/Helitron"
"1388","AT3G60700",1,"LTR/Copia"
"1389","AT4G04110",5,"LTR/Copia"
"1390","AT4G19720",1,"SINE/tRNA"
"1391","AT4G19730",2,"LTR/Gypsy"
"1392","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1393","AT4G19770",2,"LTR/Copia"
"1394","AT5G17890",4,"DNA/Helitron"
"1395","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1396","AT5G38550",1,"LINE/L1"
"1397","AT5G39330",1,"DNA/Helitron"
"1398","AT5G41170",1,"DNA/Helitron"
"1399","AT5G42232",1,"DNA/Helitron"
"1400","AT1G12300",1,"LINE/unknown"
"1401","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1402","AT1G34792",1,"LTR/Gypsy"
"1403","AT1G34795",2,"LTR/Gypsy"
"1404","AT1G34800",3,"LTR/Gypsy"
"1405","AT1G34805",1,"LTR/Gypsy"
"1406","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"1407","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"1408","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"1409","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"1410","AT1G35035",1,"LTR/Gypsy"
"1411","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"1412","AT1G60095",1,"SINE/tRNA"
"1413","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"1414","AT1G62914",1,"LINE/unknown"
"1415","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"1416","AT1G70120",1,"LINE/unknown"
"1417","AT2G03913",1,"DNA/Helitron"
"1418","AT2G15010",1,"LTR/Copia"
"1419","AT2G24615",1,"DNA/Helitron"
"1420","AT2G24625",1,"DNA/Helitron"
"1421","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"1422","AT2G29360",1,"SINE/tRNA"
"1423","AT3G22040",4,"DNA/Helitron"
"1424","AT3G22050",1,"LTR/unknown"
"1425","AT4G04110",5,"LTR/Copia"
"1426","AT4G19720",1,"SINE/tRNA"
"1427","AT4G19730",2,"LTR/Gypsy"
"1428","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1429","AT4G19770",2,"LTR/Copia"
"1430","AT5G17890",2,"DNA/Helitron"
"1431","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"1432","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1433","AT5G38550",1,"LINE/L1"
"1434","AT5G39330",1,"DNA/Helitron"
"1435","AT5G41170",1,"DNA/Helitron"
"1436","AT5G44430",3,"DNA/Helitron"
"1437","AT5G45260",1,"LTR/Copia"
"1438","AT1G12300",1,"LINE/unknown"
"1439","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1440","AT1G34792",1,"LTR/Gypsy"
"1441","AT1G34795",2,"LTR/Gypsy"
"1442","AT1G34800",3,"LTR/Gypsy"
"1443","AT1G34805",4,"DNA/Helitron, LTR/Gypsy"
"1444","AT1G34825",7,"DNA/Helitron, LTR/Gypsy"
"1445","AT1G34830",5,"DNA/Helitron, LTR/Gypsy"
"1446","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"1447","AT1G58242",3,"LTR/Ty3, LTR/unknown, LTR/Copia"
"1448","AT1G60095",1,"SINE/tRNA"
"1449","AT1G62910",2,"SINE/tRNA, LTR/Copia"
"1450","AT1G62914",1,"LINE/unknown"
"1451","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"1452","AT2G03913",3,"DNA/Helitron"
"1453","AT2G03933",2,"DNA/Helitron"
"1454","AT2G03936",1,"LTR/Copia"
"1455","AT2G03937",2,"DNA/Helitron"
"1456","AT2G15010",1,"LTR/Copia"
"1457","AT2G24615",1,"DNA/Helitron"
"1458","AT2G24625",2,"DNA/Helitron"
"1459","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"1460","AT2G29360",1,"SINE/tRNA"
"1461","AT3G22040",4,"DNA/Helitron"
"1462","AT3G22050",1,"LTR/unknown"
"1463","AT3G60700",1,"LTR/Copia"
"1464","AT4G04110",5,"LTR/Copia"
"1465","AT4G19720",1,"SINE/tRNA"
"1466","AT4G19730",1,"LTR/Gypsy"
"1467","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1468","AT4G19770",2,"LTR/Copia"
"1469","AT4G20530",2,"DNA/Helitron"
"1470","AT4G20540",1,"DNA/Helitron"
"1471","AT4G20550",1,"DNA/Helitron"
"1472","AT4G20560",1,"DNA/Helitron"
"1473","AT4G20570",1,"DNA/Helitron"
"1474","AT4G20580",7,"DNA/Helitron"
"1475","AT4G20590",1,"DNA/Helitron"
"1476","AT4G20600",1,"DNA/Helitron"
"1477","AT4G20610",1,"DNA/Helitron"
"1478","AT4G20620",1,"DNA/Helitron"
"1479","AT4G20630",1,"DNA/Helitron"
"1480","AT4G20640",1,"DNA/Helitron"
"1481","AT4G20645",8,"DNA/Helitron"
"1482","AT4G20670",15,"DNA/Helitron"
"1483","AT4G20680",1,"LTR/Ty3"
"1484","AT5G17890",3,"DNA/Helitron"
"1485","AT5G34828",3,"LTR/Ty3, LTR/unknown, LTR/Copia"
"1486","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1487","AT5G38550",2,"LINE/L1"
"1488","AT5G39330",1,"DNA/Helitron"
"1489","AT1G12300",1,"LINE/unknown"
"1490","AT1G33220",2,"LINE/L1"
"1491","AT1G34792",1,"LTR/Gypsy"
"1492","AT1G34795",2,"LTR/Gypsy"
"1493","AT1G34800",3,"LTR/Gypsy"
"1494","AT1G34805",1,"LTR/Gypsy"
"1495","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"1496","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"1497","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"1498","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"1499","AT1G45063",1,"DNA/Helitron"
"1500","AT1G57570",1,"LINE/unknown"
"1501","AT1G58242",3,"LTR/Ty3, LTR/unknown, LTR/Copia"
"1502","AT1G62910",1,"LINE/unknown"
"1503","AT1G62930",3,"LINE/L1, LTR/Copia, LINE/unknown"
"1504","AT1G63130",2,"LTR/Copia"
"1505","AT1G70120",1,"LINE/unknown"
"1506","AT2G14540",1,"LINE/unknown"
"1507","AT2G15010",1,"LTR/Copia"
"1508","AT2G24615",1,"DNA/Helitron"
"1509","AT2G24625",2,"DNA/Helitron"
"1510","AT2G29260",1,"DNA/Helitron"
"1511","AT2G29350",1,"SINE/tRNA"
"1512","AT2G29360",1,"SINE/tRNA"
"1513","AT4G04110",5,"LTR/Copia"
"1514","AT4G19720",1,"SINE/tRNA"
"1515","AT4G19730",2,"LTR/Gypsy"
"1516","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1517","AT4G19770",2,"LTR/Copia"
"1518","AT5G17890",3,"DNA/Helitron"
"1519","AT5G34828",3,"LTR/Ty3, LTR/unknown, LTR/Copia"
"1520","AT5G38550",1,"LINE/L1"
"1521","AT5G39330",1,"DNA/Helitron"
"1522","AT5G39365",2,"LTR/Copia"
"1523","AT5G41170",1,"DNA/Helitron"
"1524","AT1G12300",1,"LINE/unknown"
"1525","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1526","AT1G34792",1,"LTR/Gypsy"
"1527","AT1G34795",2,"LTR/Gypsy"
"1528","AT1G34800",3,"LTR/Gypsy"
"1529","AT1G34805",3,"DNA/Helitron, LTR/Gypsy"
"1530","AT1G34820",1,"LTR/Gypsy"
"1531","AT1G34825",7,"LTR/Gypsy, DNA/Helitron"
"1532","AT1G34830",5,"LTR/Gypsy, DNA/Helitron"
"1533","AT1G34840",4,"LTR/Gypsy, DNA/Helitron"
"1534","AT1G35035",3,"DNA/Helitron, LTR/Gypsy"
"1535","AT1G45063",1,"DNA/Helitron"
"1536","AT1G58242",3,"LTR/unknown, LTR/Copia"
"1537","AT1G60095",2,"SINE/tRNA, DNA/Helitron"
"1538","AT1G62910",1,"LINE/unknown"
"1539","AT1G62930",3,"LINE/L1, LTR/Copia, LINE/unknown"
"1540","AT2G15010",1,"LTR/Copia"
"1541","AT2G24615",2,"DNA/Helitron"
"1542","AT2G24625",1,"DNA/Helitron"
"1543","AT2G29350",1,"SINE/tRNA"
"1544","AT2G29360",1,"SINE/tRNA"
"1545","AT3G22040",1,"LTR/unknown"
"1546","AT3G22053",3,"DNA/Helitron"
"1547","AT4G04110",5,"LTR/Copia"
"1548","AT4G19720",1,"SINE/tRNA"
"1549","AT4G19730",1,"LTR/Gypsy"
"1550","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1551","AT4G19770",2,"LTR/Copia"
"1552","AT5G34828",3,"LTR/unknown, LTR/Copia"
"1553","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1554","AT5G38540",1,"LINE/unknown"
"1555","AT5G38550",1,"LINE/L1"
"1556","AT5G39330",1,"DNA/Helitron"
"1557","AT5G41170",1,"DNA/Helitron"
"1558","AT5G42232",1,"DNA/Helitron"
"1559","AT1G12300",1,"LINE/unknown"
"1560","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1561","AT1G34792",1,"LTR/Gypsy"
"1562","AT1G34795",2,"LTR/Gypsy"
"1563","AT1G34800",3,"LTR/Gypsy"
"1564","AT1G34805",1,"LTR/Gypsy"
"1565","AT1G34825",4,"LTR/Gypsy"
"1566","AT1G34830",2,"LTR/Gypsy"
"1567","AT1G45063",1,"DNA/Helitron"
"1568","AT1G57570",1,"LINE/unknown"
"1569","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1570","AT1G62680",1,"LTR/Copia"
"1571","AT1G62914",1,"LINE/unknown"
"1572","AT1G62930",2,"LINE/L1, LTR/Copia"
"1573","AT1G70120",1,"LINE/unknown"
"1574","AT2G03913",1,"DNA/Helitron"
"1575","AT2G14540",1,"LINE/unknown"
"1576","AT2G15010",1,"LTR/Copia"
"1577","AT2G24615",2,"DNA/Helitron"
"1578","AT2G24625",3,"LTR/Gypsy, LTR/Ty3, DNA/Helitron"
"1579","AT2G29350",1,"SINE/tRNA"
"1580","AT2G29360",1,"SINE/tRNA"
"1581","AT4G04110",5,"LTR/Copia"
"1582","AT4G19720",1,"SINE/tRNA"
"1583","AT4G19730",1,"LTR/Gypsy"
"1584","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1585","AT4G19770",2,"LTR/Copia"
"1586","AT5G17890",3,"DNA/Helitron"
"1587","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1588","AT5G38550",1,"LINE/L1"
"1589","AT5G39330",1,"DNA/Helitron"
"1590","AT5G39365",2,"LTR/Copia"
"1591","AT1G12300",1,"LINE/unknown"
"1592","AT1G33220",3,"LINE/unknown, LINE/L1"
"1593","AT1G34792",1,"LTR/Gypsy"
"1594","AT1G34795",2,"LTR/Gypsy"
"1595","AT1G34800",3,"LTR/Gypsy"
"1596","AT1G34805",1,"LTR/Gypsy"
"1597","AT1G34825",4,"LTR/Gypsy"
"1598","AT1G34830",2,"LTR/Gypsy"
"1599","AT1G34840",1,"LTR/Gypsy"
"1600","AT1G35035",1,"LTR/Gypsy"
"1601","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1602","AT1G60095",1,"SINE/tRNA"
