Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_id,Category,Sub-category
Q9C6N1,Q9C6N1_ARATH,unreviewed,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",At1g27870 F28L5.12 F28L5_12,Arabidopsis thaliana (Mouse-ear cress),213,AT1G27870.1,Genetic Information Processing,nuclease
Q1G3E3,Q1G3E3_ARATH,unreviewed,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",At1g47497,Arabidopsis thaliana (Mouse-ear cress),138,AT1G47497.1,Genetic Information Processing,nuclease
Q3ECT2,Q3ECT2_ARATH,unreviewed,Ribonuclease H superfamily polynucleotidyl transferase,At1g50160 F14I3.22 F14I3_22,Arabidopsis thaliana (Mouse-ear cress),73,AT1G50160.1,Genetic Information Processing,nuclease
Q3ECB5,Q3ECB5_ARATH,unreviewed,Ribonuclease H superfamily polynucleotidyl transferase,At1g77815,Arabidopsis thaliana (Mouse-ear cress),100,AT1G77815.1,Genetic Information Processing,nuclease
O64712,O64712_ARATH,unreviewed,Putative reverse transcriptase (Ribonuclease H-like superfamily protein),At2g02650 T8K22.5 T8K22_5,Arabidopsis thaliana (Mouse-ear cress),365,AT2G02650.1,Genetic Information Processing,nuclease
Q9SJC7,Q9SJC7_ARATH,unreviewed,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein (Putative non-LTR retrolelement reverse transcriptase)",At2g04420 T1O3.17 T1O3_17,Arabidopsis thaliana (Mouse-ear cress),221,AT2G04420.1,Genetic Information Processing,nuclease
A0A1P8AY32,A0A1P8AY32_ARATH,unreviewed,Reverse transcriptase-like protein,At2g11205,Arabidopsis thaliana (Mouse-ear cress),81,AT2G11205.1,Genetic Information Processing,transcriptase
Q9SKD4,Q9SKD4_ARATH,unreviewed,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",At2g46460 F11C10.15,Arabidopsis thaliana (Mouse-ear cress),160,AT2G46460.1,Genetic Information Processing,nuclease
Q9SF52,Q9SF52_ARATH,unreviewed,Putative non-LTR reverse transcriptase (Ribonuclease H-like superfamily protein),F11F8_9 At3g09510,Arabidopsis thaliana (Mouse-ear cress),484,AT3G09510.1,Genetic Information Processing,nuclease
A0A5S9XFR9,A0A5S9XFR9_ARATH,unreviewed,Uncharacterized protein,At3g25270 C24_LOCUS13841,Arabidopsis thaliana (Mouse-ear cress),343,AT3G25270.1,Uncharacterized,uncharacterized
Q9LSE9,Q9LSE9_ARATH,unreviewed,Reverse transcriptase-like protein (Ribonuclease H-like superfamily protein),At3g25270,Arabidopsis thaliana (Mouse-ear cress),343,AT3G25270.1,Genetic Information Processing,nuclease
F4JA77,F4JA77_ARATH,unreviewed,Non-LTR retroelement reverse transcriptase,At3g32130,Arabidopsis thaliana (Mouse-ear cress),214,AT3G32130.1,Genetic Information Processing,retroelement
Q1PEC2,Q1PEC2_ARATH,unreviewed,RNase H type-1 domain-containing protein,At4g03292,Arabidopsis thaliana (Mouse-ear cress),142,AT4G03292.1,Genetic Information Processing,RNA
Q3E7R1,Q3E7R1_ARATH,unreviewed,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",At4g03292,Arabidopsis thaliana (Mouse-ear cress),182,AT4G03292.1,Genetic Information Processing,nuclease
F4JKS9,F4JKS9_ARATH,unreviewed,Non-LTR retroelement reverse transcriptase,At4g09775,Arabidopsis thaliana (Mouse-ear cress),141,AT4G09775.1,Genetic Information Processing,retroelement
F4K7A8,F4K7A8_ARATH,unreviewed,Non-LTR retrolelement reverse transcriptase-like protein,At5g43755,Arabidopsis thaliana (Mouse-ear cress),176,AT5G43755.1,Genetic Information Processing,transcriptase
Q9C7Z9,SCP18_ARATH,reviewed,Serine carboxypeptidase-like 18 (EC 3.4.16.-),SCPL18 At1g33540 F10C21.18,Arabidopsis thaliana (Mouse-ear cress),464,AT1G33540.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8ASK8,A0A1P8ASK8_ARATH,unreviewed,Serine carboxypeptidase-like 18,SCPL18 scpl18 At1g33540 F10C21.18 F10C21_18,Arabidopsis thaliana (Mouse-ear cress),421,AT1G33540.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9CAU0,SCP6_ARATH,reviewed,Serine carboxypeptidase-like 6 (EC 3.4.16.-),SCPL6 At1g73270 T18K17.6,Arabidopsis thaliana (Mouse-ear cress),452,AT1G73270.1,Protein Processing and Degradation,Serine carboxypeptidase
D7KR93,D7KR93_ARALL,unreviewed,Serine carboxypeptidase-like 7,ARALYDRAFT_476459,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),427,AT1G73270.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9CAU1,SCP3_ARATH,reviewed,Serine carboxypeptidase-like 3 (EC 3.4.16.-),SCPL3 At1g73280 T18K17.5,Arabidopsis thaliana (Mouse-ear cress),441,AT1G73280.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8AWR8,A0A1P8AWR8_ARATH,unreviewed,Serine carboxypeptidase-like 3,SCPL3 scpl3 serine carboxypeptidase-like 3 At1g73280 T18K17.5 T18K17_5,Arabidopsis thaliana (Mouse-ear cress),314,AT1G73280.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8AWR4,A0A1P8AWR4_ARATH,unreviewed,Serine carboxypeptidase-like 3,SCPL3 scpl3 serine carboxypeptidase-like 3 At1g73280 T18K17.5 T18K17_5,Arabidopsis thaliana (Mouse-ear cress),339,AT1G73280.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8AWM7,A0A1P8AWM7_ARATH,unreviewed,Serine carboxypeptidase-like 3,SCPL3 scpl3 serine carboxypeptidase-like 3 At1g73280 T18K17.5 T18K17_5,Arabidopsis thaliana (Mouse-ear cress),378,AT1G73280.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9CAU2,SCP5_ARATH,reviewed,Serine carboxypeptidase-like 5 (EC 3.4.16.-),SCPL5 At1g73290 T18K17.4,Arabidopsis thaliana (Mouse-ear cress),438,AT1G73290.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8AW61,A0A1P8AW61_ARATH,unreviewed,Serine carboxypeptidase-like 5,SCPL5 scpl5 serine carboxypeptidase-like 5 At1g73290 T18K17.4 T18K17_4,Arabidopsis thaliana (Mouse-ear cress),402,AT1G73290.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8AW04,A0A1P8AW04_ARATH,unreviewed,Serine carboxypeptidase-like 5,SCPL5 scpl5 serine carboxypeptidase-like 5 At1g73290 T18K17.4 T18K17_4,Arabidopsis thaliana (Mouse-ear cress),307,AT1G73290.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9CAU3,SCPL2_ARATH,reviewed,Serine carboxypeptidase-like 2 (EC 3.4.16.-),SCPL2 At1g73300 T18K17.3,Arabidopsis thaliana (Mouse-ear cress),441,AT1G73300.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9CAU4,SCP4_ARATH,reviewed,Serine carboxypeptidase-like 4 (EC 3.4.16.-),SCPL4 At1g73310 T18K17.2,Arabidopsis thaliana (Mouse-ear cress),441,AT1G73310.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8AVE3,A0A1P8AVE3_ARATH,unreviewed,Serine carboxypeptidase-like 4,SCPL4 scpl4 serine carboxypeptidase-like 4 At1g73310 T18K17.2 T18K17_2,Arabidopsis thaliana (Mouse-ear cress),428,AT1G73310.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8AVA6,A0A1P8AVA6_ARATH,unreviewed,Serine carboxypeptidase-like 4,SCPL4 scpl4 serine carboxypeptidase-like 4 At1g73310 T18K17.2 T18K17_2,Arabidopsis thaliana (Mouse-ear cress),326,AT1G73310.1,Protein Processing and Degradation,Serine carboxypeptidase
O81009,SCP12_ARATH,reviewed,Serine carboxypeptidase-like 12 (EC 3.4.16.-),SCPL12 At2g22920 T20K9.13,Arabidopsis thaliana (Mouse-ear cress),435,AT2G22920.2,Protein Processing and Degradation,Serine carboxypeptidase
F4IKI5,F4IKI5_ARATH,unreviewed,Serine carboxypeptidase-like 12,SCPL12 At2g22920 T20K9.13 T20K9_13,Arabidopsis thaliana (Mouse-ear cress),256,AT2G22920.2,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8B1W3,A0A1P8B1W3_ARATH,unreviewed,Serine carboxypeptidase-like 12,SCPL12 At2g22920 T20K9.13 T20K9_13,Arabidopsis thaliana (Mouse-ear cress),315,AT2G22920.2,Protein Processing and Degradation,Serine carboxypeptidase
Q2V465,SCP11_ARATH,reviewed,Serine carboxypeptidase-like 11 (EC 3.4.16.-),SCPL11 At2g22970 F21P24.3 T20K9.19,Arabidopsis thaliana (Mouse-ear cress),433,AT2G22970.3,Protein Processing and Degradation,Serine carboxypeptidase
A8MQP0,A8MQP0_ARATH,unreviewed,Serine carboxypeptidase-like 11,SCPL11 At2g22970 T20K9.19,Arabidopsis thaliana (Mouse-ear cress),443,AT2G22970.3,Protein Processing and Degradation,Serine carboxypeptidase
D7LEL7,D7LEL7_ARALL,unreviewed,SCPL11,ARALYDRAFT_481161,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),429,AT2G22970.3,Uncategorized,
Q8H780,SCP13_ARATH,reviewed,Serine carboxypeptidase-like 13 (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (EC 2.3.1.103) (Sinapoylglucose--sinapoylglucose acyltransferase),SCPL13 At2g22980 F21P24.4 T20K9.20,Arabidopsis thaliana (Mouse-ear cress),430,AT2G22980.4,Protein Processing and Degradation,Serine carboxypeptidase
D7LEL8,D7LEL8_ARALL,unreviewed,Serine carboxypeptidase family protein,ARALYDRAFT_481165,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),411,AT2G22980.4,Protein Processing and Degradation,Serine carboxypeptidase
A8MQS0,A8MQS0_ARATH,unreviewed,Serine carboxypeptidase-like 13,SCPL13 At2g22980 T20K9.20,Arabidopsis thaliana (Mouse-ear cress),433,AT2G22980.4,Protein Processing and Degradation,Serine carboxypeptidase
Q8RUW5,SCP8_ARATH,reviewed,Serine carboxypeptidase-like 8 (Protein SINAPOYLGLUCOSE ACCUMULATOR 1) (Sinapoylglucose--malate O-sinapoyltransferase) (SMT) (EC 2.3.1.92) (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (EC 2.3.1.103),SCPL8 SMT SNG1 At2g22990 F21P24.5 T20K9.18,Arabidopsis thaliana (Mouse-ear cress),433,AT2G22990.3,Protein Processing and Degradation,Serine carboxypeptidase
O64810,SCP10_ARATH,reviewed,Serine carboxypeptidase-like 10 (Sinapoylglucose--anthocyanin acyltransferase) (Sinapoylglucose--anthocyanin sinapoyltransferase) (SAT) (EC 2.3.1.-),SCPL10 SAT At2g23000 F21P24.6,Arabidopsis thaliana (Mouse-ear cress),437,AT2G23000.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A178VYK6,A0A178VYK6_ARATH,unreviewed,Scpl10,AXX17_At2g18620,Arabidopsis thaliana (Mouse-ear cress),437,AT2G23000.1,Uncategorized,
O64811,SCP9_ARATH,reviewed,Serine carboxypeptidase-like 9 (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (SST) (EC 2.3.1.103) (Sinapoylglucose--sinapoylglucose acyltransferase),SCPL9 SST At2g23010 F21P24.7,Arabidopsis thaliana (Mouse-ear cress),437,AT2G23010.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A178W1Q9,A0A178W1Q9_ARATH,unreviewed,SCPL9,AXX17_At2g18630,Arabidopsis thaliana (Mouse-ear cress),437,AT2G23010.1,Uncategorized,
F4ILE5,F4ILE5_ARATH,unreviewed,Serine carboxypeptidase-like 9,SCPL9 serine carboxypeptidase-like 9 At2g23010 F21P24.7 F21P24_7,Arabidopsis thaliana (Mouse-ear cress),437,AT2G23010.1,Protein Processing and Degradation,Serine carboxypeptidase
D7LEM2,D7LEM2_ARALL,unreviewed,Uncharacterized protein,ARALYDRAFT_481172,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),432,AT2G23010.1,Uncharacterized,uncharacterized
Q9SQX6,SCP7_ARATH,reviewed,Serine carboxypeptidase-like 7 (EC 3.4.16.-),SCPL7 At3g10450 F13M14.27 F18K10.3,Arabidopsis thaliana (Mouse-ear cress),437,AT3G10450.1,Protein Processing and Degradation,Serine carboxypeptidase
D7L8Y8,D7L8Y8_ARALL,unreviewed,Serine carboxypeptidase-like 7,ARALYDRAFT_478377,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),437,AT3G10450.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A178VAE4,A0A178VAE4_ARATH,unreviewed,SCPL7,AXX17_At3g10250 C24_LOCUS12183,Arabidopsis thaliana (Mouse-ear cress),437,AT3G10450.1,Uncategorized,
A0A1I9LLH5,A0A1I9LLH5_ARATH,unreviewed,Serine carboxypeptidase-like 7,SCPL7 serine carboxypeptidase-like 7 At3g10450,Arabidopsis thaliana (Mouse-ear cress),373,AT3G10450.1,Protein Processing and Degradation,Serine carboxypeptidase
F4J3S3,F4J3S3_ARATH,unreviewed,Serine carboxypeptidase-like 7,SCPL7 serine carboxypeptidase-like 7 At3g10450,Arabidopsis thaliana (Mouse-ear cress),394,AT3G10450.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A178V9Y2,A0A178V9Y2_ARATH,unreviewed,Serine carboxypeptidase-like 7,SCPL7 serine carboxypeptidase-like 7 At3g10450,Arabidopsis thaliana (Mouse-ear cress),416,AT3G10450.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A384KB05,A0A384KB05_ARATH,unreviewed,SCPL7,AXX17_At3g10250,Arabidopsis thaliana (Mouse-ear cress),416,AT3G10450.1,Uncategorized,
Q9C7D6,SCP17_ARATH,reviewed,Serine carboxypeptidase-like 17 (EC 3.4.16.-),SCPL17 At3g12203 F28J15.16,Arabidopsis thaliana (Mouse-ear cress),437,AT3G12203.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1I9LS91,A0A1I9LS91_ARATH,unreviewed,Serine carboxypeptidase-like 17,SCPL17 scpl17 At3g12203,Arabidopsis thaliana (Mouse-ear cress),379,AT3G12203.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1I9LS92,A0A1I9LS92_ARATH,unreviewed,Serine carboxypeptidase-like 17,SCPL17 scpl17 At3g12203,Arabidopsis thaliana (Mouse-ear cress),416,AT3G12203.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9C7D4,SCP16_ARATH,reviewed,Serine carboxypeptidase-like 16 (EC 3.4.16.-),SCPL16 At3g12220 F28J15.109 F28J15.15,Arabidopsis thaliana (Mouse-ear cress),435,AT3G12220.1,Protein Processing and Degradation,Serine carboxypeptidase
D7KZQ8,D7KZQ8_ARALL,unreviewed,Serine carboxypeptidase family protein,ARALYDRAFT_478582,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),442,AT3G12220.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1I9LRY3,A0A1I9LRY3_ARATH,unreviewed,Serine carboxypeptidase-like 16,SCPL16 scpl16 At3g12220,Arabidopsis thaliana (Mouse-ear cress),405,AT3G12220.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1I9LRY2,A0A1I9LRY2_ARATH,unreviewed,Serine carboxypeptidase-like 16,SCPL16 scpl16 At3g12220,Arabidopsis thaliana (Mouse-ear cress),383,AT3G12220.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9C7D3,SCP14_ARATH,reviewed,Serine carboxypeptidase-like 14 (EC 3.4.16.-),SCPL14 At3g12230 F28J15.110 F28J15.14,Arabidopsis thaliana (Mouse-ear cress),435,AT3G12230.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9C7D2,SCP15_ARATH,reviewed,Serine carboxypeptidase-like 15 (EC 3.4.16.-),SCPL15 At3g12240 F28J15.111 F28J15.13,Arabidopsis thaliana (Mouse-ear cress),436,AT3G12240.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A178VH05,A0A178VH05_ARATH,unreviewed,SCPL15,AXX17_At3g12270 C24_LOCUS12381,Arabidopsis thaliana (Mouse-ear cress),436,AT3G12240.1,Uncategorized,
Q8RWJ6,SCP1_ARATH,reviewed,Serine carboxypeptidase-like 1 (EC 3.4.16.-),SCPL1 At5g36180 MAB16.13,Arabidopsis thaliana (Mouse-ear cress),441,AT5G36180.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8BEP6,A0A1P8BEP6_ARATH,unreviewed,Serine carboxypeptidase-like 1,SCPL1 MAB16.13 MAB16_13 scpl1 serine carboxypeptidase-like 1 At5g36180,Arabidopsis thaliana (Mouse-ear cress),339,AT5G36180.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8BEM4,A0A1P8BEM4_ARATH,unreviewed,Serine carboxypeptidase-like 1,SCPL1 MAB16.13 MAB16_13 scpl1 serine carboxypeptidase-like 1 At5g36180,Arabidopsis thaliana (Mouse-ear cress),339,AT5G36180.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A1P8BEN8,A0A1P8BEN8_ARATH,unreviewed,Serine carboxypeptidase-like 1,SCPL1 MAB16.13 MAB16_13 scpl1 serine carboxypeptidase-like 1 At5g36180,Arabidopsis thaliana (Mouse-ear cress),321,AT5G36180.1,Protein Processing and Degradation,Serine carboxypeptidase
A0A178UJB4,A0A178UJB4_ARATH,unreviewed,Serine carboxypeptidase-like 7,AXX17_At5g33520,Arabidopsis thaliana (Mouse-ear cress),441,AT5G36180.1,Protein Processing and Degradation,Serine carboxypeptidase
Q9SGP1,Q9SGP1_ARATH,unreviewed,Cytochrome P450 (F3M18.13),CYP705A24 cytochrome P450 family 705 polypeptide 24 subfamily A At1g28430 F3M18.13 F3M18_13,Arabidopsis thaliana (Mouse-ear cress),521,AT1G28430.1,Multifunction,Cytochrome P450
A0A5S9W7A3,A0A5S9W7A3_ARATH,unreviewed,Cytochrome P450,At1g28430 C24_LOCUS2815,Arabidopsis thaliana (Mouse-ear cress),521,AT1G28430.1,Multifunction,Cytochrome P450
D7KCW9,D7KCW9_ARALL,unreviewed,CYP705A24,ARALYDRAFT_473062,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),518,AT1G28430.1,Multifunction,CYP
Q9SJ39,Q9SJ39_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 6 (Putative cytochrome P450)",CYP705A6 cytochrome P450 family 705 polypeptide 6 subfamily A At2g05180 F5G3.8 F5G3_8,Arabidopsis thaliana (Mouse-ear cress),442,AT2G05180.1,Multifunction,Cytochrome P450
A0A654EUD5,A0A654EUD5_ARATH,unreviewed,Cytochrome P450,At2g14100 AN1_LOCUS7810,Arabidopsis thaliana (Mouse-ear cress),518,AT2G14100.1,Multifunction,Cytochrome P450
Q9SI49,Q9SI49_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 13 (Putative cytochrome P450)",CYP705A13 cytochrome P450 family 705 polypeptide 13 subfamily A At2g14100 T22C12.3 T22C12_3,Arabidopsis thaliana (Mouse-ear cress),518,AT2G14100.1,Multifunction,Cytochrome P450
Q9ZVD7,Q9ZVD7_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 8 (Putative cytochrome P450)",CYP705A8 cytochrome P450 family 705 polypeptide 8 subfamily A At2g27000 T20P8.5 T20P8_5,Arabidopsis thaliana (Mouse-ear cress),514,AT2G27000.1,Multifunction,Cytochrome P450
A0A178W1J9,A0A178W1J9_ARATH,unreviewed,CYP705A8,At2g27000 AXX17_At2g22890,Arabidopsis thaliana (Mouse-ear cress),514,AT2G27000.1,Multifunction,CYP
Q9ZVD6,Q9ZVD6_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 9 (Putative cytochrome P450)",CYP705A9 cytochrome P450 family 705 polypeptide 9 subfamily A At2g27010 T20P8.6 T20P8_6,Arabidopsis thaliana (Mouse-ear cress),498,AT2G27010.1,Multifunction,Cytochrome P450
A0A384KIF5,A0A384KIF5_ARATH,unreviewed,CYP705A15,At3g20080 AXX17_At3g21430,Arabidopsis thaliana (Mouse-ear cress),523,AT3G20080.2,Multifunction,CYP
Q9LJZ2,Q9LJZ2_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 15 (Cytochrome P450-like protein)",CYP705A15 cytochrome P450 family 705 polypeptide 15 subfamily A At3g20080,Arabidopsis thaliana (Mouse-ear cress),523,AT3G20080.2,Multifunction,Cytochrome P450
Q9LJY9,Q9LJY9_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 18 (Cytochrome P450-like protein)",CYP705A18 cytochrome P450 family 705 polypeptide 18 subfamily A At3g20090,Arabidopsis thaliana (Mouse-ear cress),524,AT3G20090.2,Multifunction,Cytochrome P450
A0A5S9XDY6,A0A5S9XDY6_ARATH,unreviewed,Uncharacterized protein,At3g20090 C24_LOCUS13269,Arabidopsis thaliana (Mouse-ear cress),524,AT3G20090.2,Uncharacterized,uncharacterized
A0A654F8Z1,A0A654F8Z1_ARATH,unreviewed,Uncharacterized protein,At3g20100 AN1_LOCUS13434,Arabidopsis thaliana (Mouse-ear cress),513,AT3G20100.1,Uncharacterized,uncharacterized
Q9LJY8,Q9LJY8_ARATH,unreviewed,"AT3g20100/MAL21_14 (Cytochrome P450, family 705, subfamily A, polypeptide 19) (Cytochrome P450-like protein)",CYP705A19 cytochrome P450 family 705 polypeptide 19 subfamily A At3g20100,Arabidopsis thaliana (Mouse-ear cress),513,AT3G20100.1,Multifunction,Cytochrome P450
Q9LJY7,C75AK_ARATH,reviewed,Cytochrome P450 705A20 (EC 1.14.-.-),CYP705A20 At3g20110 MAL21.15,Arabidopsis thaliana (Mouse-ear cress),510,AT3G20110.1,Multifunction,Cytochrome P450
A0A178V8F4,A0A178V8F4_ARATH,unreviewed,CYP705A20,AXX17_At3g21450,Arabidopsis thaliana (Mouse-ear cress),510,AT3G20110.1,Multifunction,CYP
A0A384KKZ1,A0A384KKZ1_ARATH,unreviewed,CYP705A21,At3g20120 AXX17_At3g21460 AN1_LOCUS13436,Arabidopsis thaliana (Mouse-ear cress),514,AT3G20120.4,Multifunction,CYP
Q9LJY6,Q9LJY6_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 21 (Cytochrome P450-like protein)",CYP705A21 cytochrome P450 family 705 polypeptide 21 subfamily A At3g20120,Arabidopsis thaliana (Mouse-ear cress),514,AT3G20120.4,Multifunction,Cytochrome P450
Q9LJY5,C05AK_ARATH,reviewed,Cytochrome P450 705A22 (EC 1.14.-.-) (Protein GRAVITY PERSISTENCE SIGNAL 1),CYP705A22 GPS1 At3g20130 MAL21.16,Arabidopsis thaliana (Mouse-ear cress),515,AT3G20130.1,Multifunction,Cytochrome P450
A8MQL2,A8MQL2_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 22",CYP705A22 cytochrome P450 family 705 GPS1 gravity persistence signal 1 polypeptide 22 subfamily A At3g20130,Arabidopsis thaliana (Mouse-ear cress),487,AT3G20130.1,Multifunction,Cytochrome P450
A0A178VM93,A0A178VM93_ARATH,unreviewed,GPS1,AXX17_At3g21470 AN1_LOCUS13437 C24_LOCUS13273,Arabidopsis thaliana (Mouse-ear cress),515,AT3G20130.1,Uncategorized,
Q9LJY4,Q9LJY4_ARATH,unreviewed,"Cytochrome P450 family protein (Cytochrome P450, family 705, subfamily A, polypeptide 23) (Cytochrome P450-like protein)",CYP705A23 cytochrome P450 family 705 polypeptide 23 subfamily A At3g20140,Arabidopsis thaliana (Mouse-ear cress),510,AT3G20140.1,Multifunction,Cytochrome P450
A0A384LG79,A0A384LG79_ARATH,unreviewed,CYP705A23,At3g20140 AXX17_At3g21480 AN1_LOCUS13438,Arabidopsis thaliana (Mouse-ear cress),510,AT3G20140.1,Multifunction,CYP
D7LAW4,D7LAW4_ARALL,unreviewed,CYP705A23,ARALYDRAFT_479532,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),496,AT3G20140.1,Multifunction,CYP
F4IWB9,F4IWB9_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 28",CYP705A28 cytochrome P450 family 705 MFD22.6 polypeptide 28 subfamily A At3g20935,Arabidopsis thaliana (Mouse-ear cress),348,AT3G20935.1,Multifunction,Cytochrome P450
A0A7G2ERW4,A0A7G2ERW4_ARATH,unreviewed,(thale cress) hypothetical protein,At3g20940 AT9943_LOCUS11619,Arabidopsis thaliana (Mouse-ear cress),523,AT3G20940.1,Uncharacterized,hypothetical protein
Q9LIG9,Q9LIG9_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 30 (Cytochrome P450-like protein) (Putative cytochrome P450)",CYP705A30 cytochrome P450 family 705 polypeptide 30 subfamily A At3g20940,Arabidopsis thaliana (Mouse-ear cress),523,AT3G20940.1,Multifunction,Cytochrome P450
Q9LIG8,Q9LIG8_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 32 (Cytochrome P450-like protein)",CYP705A32 cytochrome P450 family 705 polypeptide 32 subfamily A At3g20950,Arabidopsis thaliana (Mouse-ear cress),526,AT3G20950.1,Multifunction,Cytochrome P450
Q9LIG7,Q9LIG7_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 33 (Cytochrome P450-like protein)",CYP705A33 cytochrome P450 family 705 polypeptide 33 subfamily A At3g20960,Arabidopsis thaliana (Mouse-ear cress),521,AT3G20960.2,Multifunction,Cytochrome P450
F4JA71,F4JA71_ARATH,unreviewed,Cytochrome P450 superfamily protein,At3g32047 F1M23.15,Arabidopsis thaliana (Mouse-ear cress),502,AT3G32047.1,Multifunction,Cytochrome P450
Q0WQ07,C7051_ARATH,reviewed,Cytochrome P450 705A1 (EC 1.14.-.-),CYP705A1 At4g15330 dl3710c FCAALL.270,Arabidopsis thaliana (Mouse-ear cress),513,AT4G15330.1,Multifunction,Cytochrome P450
A0A1P8B8J8,A0A1P8B8J8_ARATH,unreviewed,"Cytochrome P450, family 705, subfamily A, polypeptide 1",CYP705A1 cytochrome P450 DL3710C family 705 polypeptide 1 subfamily A At4g15330 FCAALL.270,Arabidopsis thaliana (Mouse-ear cress),485,AT4G15330.1,Multifunction,Cytochrome P450
A0A178V7C8,A0A178V7C8_ARATH,unreviewed,(thale cress) hypothetical protein (CYP705A1),AXX17_At4g17810 AN1_LOCUS18196 AT9943_LOCUS15668,Arabidopsis thaliana (Mouse-ear cress),513,AT4G15330.1,Multifunction,CYP
O23391,O23391_ARATH,unreviewed,"Cytochrome P450 like protein (Cytochrome P450, family 705, subfamily A, polypeptide 2) (Putative cytochrome P450 protein)",CYP705A2 cytochrome P450 DL3720W dl3720w family 705 polypeptide 2 subfamily A At4g15350 FCAALL.274,Arabidopsis thaliana (Mouse-ear cress),509,AT4G15350.1,Multifunction,Cytochrome P450
A0A654FPL2,A0A654FPL2_ARATH,unreviewed,Uncharacterized protein,AN1_LOCUS18198,Arabidopsis thaliana (Mouse-ear cress),509,AT4G15350.1,Uncharacterized,uncharacterized
D7MAJ5,D7MAJ5_ARALL,unreviewed,CYP705A2,ARALYDRAFT_493358,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),510,AT4G15350.1,Multifunction,CYP
O23389,O23389_ARATH,unreviewed,"Cytochrome P450 like protein (Cytochrome P450, family 705, subfamily A, polypeptide 3)",CYP705A3 cytochrome P450 DL3725W dl3725w family 705 polypeptide 3 subfamily A At4g15360 FCAALL.277,Arabidopsis thaliana (Mouse-ear cress),527,AT4G15360.1,Multifunction,Cytochrome P450
